gene,shift
PCDHA1,-178
PCDHA2,-157
PCDHA3,-177
PCDHA4,-182
PCDHA5,-207
PCDHA6,-168
PCDHA7,-185
PCDHA8,-165
PCDHA9,-182
PCDHA10,-181
PCDHA11,-194
PCDHA12,-202
PCDHA13,-180
PCDHAC1,-259
PCDHAC2,-263
PCDHB1,-223
PCDHB2,-217
PCDHB3,-228
PCDHB4,-247
PCDHB5,-227
PCDHB6,-238
PCDHB7,-241
PCDHB8,-229
PCDHB8a,-221
PCDHB9,-216
PCDHB10,-225
PCDHB11,-216
PCDHB12,-236
PCDHB13,-230
PCDHB14,-214
PCDHB15,-236
PCDHGA1,-255
PCDHGA2,-242
PCDHGA3,-240
PCDHGB1,-209
PCDHGA4,-121
PCDHGB2,-188
PCDHGA5,-197
PCDHGB3,-206
PCDHGA6,-222
PCDHGA7,-224
PCDHGB4,-241
PCDHGA8,-219
PCDHGB5,-238
PCDHGA9,-212
PCDHGB6,-252
PCDHGA10,-218
PCDHGB7,-250
PCDHGA11,-229
PCDHGA12,-207
PCDHGC3,-210
PCDHGC4,-195
PCDHGC5,-166
