gene,shift
Pcdha1,-178
Pcdha2,-157
Pcdha3,-177
Pcdha4,-182
Pcdha5,-207
Pcdha6,-168
Pcdha7,-185
Pcdha8,-165
Pcdha9,-182
Pcdha10,-181
Pcdha11,-194
Pcdha12,-202
Pcdha13,-180
Pcdhac1,-259
Pcdhac2,-263
Pcdhb1,-223
Pcdhb2,-217
Pcdhb3,-228
Pcdhb4,-247
Pcdhb5,-227
Pcdhb6,-238
Pcdhb7,-241
Pcdhb8,-229
Pcdhb8a,-221
Pcdhb9,-216
Pcdhb10,-225
Pcdhb11,-216
Pcdhb12,-236
Pcdhb13,-230
Pcdhb14,-214
Pcdhb15,-236
Pcdhga1,-255
Pcdhga2,-242
Pcdhga3,-240
Pcdhgb1,-209
Pcdhga4,-121
Pcdhgb2,-188
Pcdhga5,-197
Pcdhgb3,-206
Pcdhga6,-222
Pcdhga7,-224
Pcdhgb4,-241
Pcdhga8,-219
Pcdhgb5,-238
Pcdhga9,-212
Pcdhgb6,-252
Pcdhga10,-218
Pcdhgb7,-250
Pcdhga11,-229
Pcdhga12,-207
Pcdhgc3,-210
Pcdhgc4,-195
Pcdhgc5,-166
